PESON,TALLAN
25.8,131.4
23.4,112.8
18,105.9
37,135.2
12.4,86
11.68,86
24.8,115
24.6,127.9
18.52,89.5
30.8,126.3
22.6,112.3
20.8,114.3
21,117.9
19.8,113
17.6,110.1
24.6,125.9
19,111.9
8.8,67.5
18.6,105.8
14.6,97.2
18.36,114.3
38.2,137.6
26.2,125.8
18.4,115
13.8,98
8.68,76.2
24.2,126.4
22.4,119
17.6,112.2
22.8,133.5
26.2,121.4
10.6,75.2
32.8,134.1
22.2,114.1
14.22,96.8
25,126.7
26.8,129.5
26.6,127.1
14.6,93
21.6,116
14,94.1
48.4,146
14.8,96.6
15.6,107.6
12.4,87
31.8,137.9
12,82.9
7.02,68.3
7.44,64
16.4,110.5
32.4,124.3
12,81.4
13.4,88.7
15,104
18,107
35,132.8
29,132.6
16.6,102.3
14.6,90.9
8.45,67
23.8,127.4
10.2,76.9
14.2,86.4
14.8,96
20.4,115.6
15.8,90.5
20.4,108.9
20.6,111
17.2,104.9
10.8,82
23.6,123.3
13.58,91.9
46.8,144.5
19,111.2
16.2,102
33.8,126
14.4,93.5
14.4,97.7
20.8,108.1
17.8,111.9
26.6,126.2
29.2,134.3
26.2,127.9
20,116.8
11.6,87.3
28.8,130.8
21,110.4
15,100.9
22,124
26.2,123.8
19.8,112.3
17.4,111
24.2,125.5
31.6,129.6
26.6,128.2
32.4,128.5
12.8,91.1
16.2,97.9
12,86.5
14.2,104.1
29.8,116.8
36.6,156
13.4,96.4
18,101
25,121.5
19.2,107.1
21.4,110.8
13.6,99.2
19.4,111.5
16.8,102.2
19.2,107
12.8,85.3
28,127
22.8,117
11.4,78.8
19.4,112.4
21.8,111.4
9.82,71.3
57.8,143.6
17,101.1
9.58,73.1
20.6,121
12.2,87
25.4,105.6
22.6,119.1
32.2,133.1
4.22,51
24.8,124.6
22,117.4
22.4,119
14.2,88.5
13.8,91.9
15,98.4
23.8,120.7
20.4,109.6
25.4,120.5
23.6,115
21.4,115
26.4,120.5
31,126
22.6,118
18.8,105.6
9.76,78
7.2,65
20,111.5
6.8,66
27.6,131.6
17.6,103
19.2,115.5
13,85.6
29.4,129.2
27.6,130.5
25.4,123.2
12.46,87
29.2,123.4
28.2,122.4
43,130
19,110
35.2,136.8
30.8,135.4
16.2,102.2
26.6,134.6
21.8,117.4
28.4,126.6
26.2,123.3
19.82,114
23.8,120.2
34.4,132.7
23,118.8
11.12,78.8
20.2,110.1
21.8,116.7
22.8,120.8
9.4,76.7
12.4,85.7
16.2,91
26.2,123.7
13.2,92.1
23.8,125.5
13.8,93.8
15.6,104.3
22.2,114.3
55.8,147.3
11.44,85.1
19.4,108
29.6,126
14.6,100.3
18.6,107.1
32,138.9
27,119.8
7.78,67.1
24.8,121.8
24.6,123.2
19.4,113.4
14.32,97
16.64,102.7
7.96,68.6
30,130.8
11.56,86.7
18.8,105
14.66,89.6
9.17,74.3
18.6,112.6
21.2,108.8
22.4,118.5
10.6,82.2
13.2,89
10.14,77
9.06,74.4
19.08,108.3
18.4,103.4
11.42,86.4
38.2,135.8
28.6,121.7
16.56,101.9
19,112.4
33,128.2
25.4,123
12.4,90.8
14.5,91.6
22.2,130.1
15,95
23,119
15.6,102.4
31.2,127.5
13.4,91
